danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_title,artist,cluster
0.2,0.966,6,-4.628,1,0.0752,2.76e-05,0.00336,0.117,0.166,100.641,audio_features,68d6gCvA68WvcIYGsQknVv,spotify:track:68d6gCvA68WvcIYGsQknVv,https://api.spotify.com/v1/tracks/68d6gCvA68WvcIYGsQknVv,https://api.spotify.com/v1/audio-analysis/68d6gCvA68WvcIYGsQknVv,356947,4,Baiting the Public,Fucked Up,0
0.422,0.721,4,-11.874,0,0.0429,3.49e-05,0.822,0.261,0.833,76.63,audio_features,6h05Jo0k0PIPpkAoceK96E,spotify:track:6h05Jo0k0PIPpkAoceK96E,https://api.spotify.com/v1/tracks/6h05Jo0k0PIPpkAoceK96E,https://api.spotify.com/v1/audio-analysis/6h05Jo0k0PIPpkAoceK96E,317573,4,Death Row,Accept,2
0.366,0.712,5,-14.177,1,0.0361,0.0131,0.923,0.27,0.556,155.42,audio_features,2GKYEk8NQkafOqSw4uWZXl,spotify:track:2GKYEk8NQkafOqSw4uWZXl,https://api.spotify.com/v1/tracks/2GKYEk8NQkafOqSw4uWZXl,https://api.spotify.com/v1/audio-analysis/2GKYEk8NQkafOqSw4uWZXl,135773,4,Wipeout,The Surfaris,2
0.619,0.532,0,-8.149,1,0.03,0.166,0.265,0.327,0.0941,106.973,audio_features,0e9uHa9VAbyAQ9qqn99Jpx,spotify:track:0e9uHa9VAbyAQ9qqn99Jpx,https://api.spotify.com/v1/tracks/0e9uHa9VAbyAQ9qqn99Jpx,https://api.spotify.com/v1/audio-analysis/0e9uHa9VAbyAQ9qqn99Jpx,147065,4,Fuck U.S. To Death,Witto Goom,3
0.865,0.702,9,-6.517,1,0.162,0.147,0.0,0.672,0.579,105.969,audio_features,4pW6iT7EEewgtC1novqeZy,spotify:track:4pW6iT7EEewgtC1novqeZy,https://api.spotify.com/v1/tracks/4pW6iT7EEewgtC1novqeZy,https://api.spotify.com/v1/audio-analysis/4pW6iT7EEewgtC1novqeZy,194627,4,Click Clack (Make Dat Money),RuPaul,4
0.725,0.672,5,-5.798,0,0.0344,0.283,0.0,0.164,0.753,93.371,audio_features,46eMttDKEXEiCvncgQm64A,spotify:track:46eMttDKEXEiCvncgQm64A,https://api.spotify.com/v1/tracks/46eMttDKEXEiCvncgQm64A,https://api.spotify.com/v1/audio-analysis/46eMttDKEXEiCvncgQm64A,260000,4,Chi sei adesso,Gemelli Diversi,0
0.648,0.72,4,-6.43,0,0.0273,0.0223,1.79e-05,0.267,0.662,130.032,audio_features,4MdPO2ji2CDS1pWTD98KAn,spotify:track:4MdPO2ji2CDS1pWTD98KAn,https://api.spotify.com/v1/tracks/4MdPO2ji2CDS1pWTD98KAn,https://api.spotify.com/v1/audio-analysis/4MdPO2ji2CDS1pWTD98KAn,202333,4,Joku muu,Yö,0
0.907,0.489,8,-5.79,1,0.158,0.0477,0.0,0.115,0.253,136.982,audio_features,5wihevBA7MO9PNYyWyTfkh,spotify:track:5wihevBA7MO9PNYyWyTfkh,https://api.spotify.com/v1/tracks/5wihevBA7MO9PNYyWyTfkh,https://api.spotify.com/v1/audio-analysis/5wihevBA7MO9PNYyWyTfkh,211244,4,Brown Paper Bag,Migos,4
0.497,0.296,9,-10.756,1,0.0302,0.431,0.0,0.106,0.171,62.204,audio_features,5d4E1hgkLyb7sXr5J3InnM,spotify:track:5d4E1hgkLyb7sXr5J3InnM,https://api.spotify.com/v1/tracks/5d4E1hgkLyb7sXr5J3InnM,https://api.spotify.com/v1/audio-analysis/5d4E1hgkLyb7sXr5J3InnM,220267,4,You Needed Me,Anne Murray,6
0.633,0.634,8,-12.115,1,0.0725,0.038,0.0064,0.0385,0.872,100.499,audio_features,1h2xVEoJORqrg71HocgqXd,spotify:track:1h2xVEoJORqrg71HocgqXd,https://api.spotify.com/v1/tracks/1h2xVEoJORqrg71HocgqXd,https://api.spotify.com/v1/audio-analysis/1h2xVEoJORqrg71HocgqXd,245493,4,Superstition - Single Version,Stevie Wonder,6
